"Time","Event Type","MAC Address","IP Address","IPv6 Addresses","AP Name","SSID","Details","IPv6 Address","Bssid","From Ap Name","Ap Serial","From Ap Serial"
"May 5, 2021 7:27:18 PM","Roam","80:86:F2:52:1B:38",,"","catho-ap22-505i","glee-test-5","Between XCC to AP/Radio[2] DevFamily[Windows] DevType[Windows 8/ 8.1/ 10/ 2012] Hostname[aptest] FT[None]",,"94:9B:2C:0E:87:F2",,"1902W-2011900000",
"May 5, 2021 7:27:15 PM","Roam","94:9B:2C:0E:C8:30",,"","catho-ap22-505i","glee-test-5","Between XCC to AP/Radio[2] DevFamily[Wireless Access Point] DevType[Extreme Wireless Access Point] Hostname[CB-AP510-2] FT[None]",,"94:9B:2C:0E:87:F2",,"1902W-2011900000",
"May 5, 2021 7:27:03 PM","Roam","94:9B:2C:0E:C8:30",,"","catho-ap02-410i","glee-test-5","Between XCC to AP/Radio[2] DevFamily[Wireless Access Point] DevType[Extreme Wireless Access Point] Hostname[CB-AP510-2] FT[None]",,"48:9B:D5:ED:F3:32",,"1943Y-1588200000",
"May 5, 2021 7:27:03 PM","Roam","80:86:F2:52:1B:38",,"","catho-ap02-410i","glee-test-5","Between XCC to AP/Radio[2] DevFamily[Windows] DevType[Windows 8/ 8.1/ 10/ 2012] Hostname[aptest] FT[None]",,"48:9B:D5:ED:F3:32",,"1943Y-1588200000",
"May 5, 2021 7:26:38 PM","De-registration","E4:A7:A0:48:A5:4E",,"","catho-ap27-3912i","Extreme-Corp","Network[Extreme-Corp] Cause[Idle timeout] FT[None]",,"D8:84:66:6C:0E:D0",,"1637Y-1001800000",
"May 5, 2021 7:26:38 PM","Roam","94:9B:2C:0E:C8:30",,"","catho-ap18-410i","glee-test-5","Between XCC to AP/Radio[2] DevFamily[Wireless Access Point] DevType[Extreme Wireless Access Point] Hostname[CB-AP510-2] FT[None]",,"48:9B:D5:ED:F4:B2",,"1943Y-1589400000",
"May 5, 2021 7:25:53 PM","Roam","94:9B:2C:0E:C8:30",,"","catho-ap25-510i","glee-test-5","Between XCC to AP/Radio[2] DevFamily[Wireless Access Point] DevType[Extreme Wireless Access Point] Hostname[CB-AP510-2] FT[None]",,"94:9B:2C:0F:0D:52",,"1910W-2114700000",
"May 5, 2021 7:25:16 PM","Roam","94:9B:2C:0E:C8:30",,"","catho-ap24-410i",,"Inside XCC from AP/Radio[2] to AP/Radio[2] Network[glee-test] DevFamily[Wireless Access Point] DevType[Extreme Wireless Access Point] Hostname[CB-AP510-2] FT[None]",,"48:9B:D5:ED:F2:D2","catho-ap18-410i","1943Y-1587900000","1943Y-1589400000"
"May 5, 2021 7:25:03 PM","De-registration","68:9C:70:9D:64:0C",,"","catho-ap14-510i","Extreme-Corp","Network[Extreme-Corp] Cause[AP send disconnect req(code:8)] DevFamily[Apple iOS] DevType[iPhone/iPad/iPod/Watch/ATV] Hostname[QA7ipad] FT[PMKID]",,"94:9B:2C:0F:65:B0",,"1911W-2017000000",
"May 5, 2021 7:24:54 PM","Roam","94:9B:2C:0E:C8:30",,"","catho-ap18-410i",,"Inside XCC from AP/Radio[2] to AP/Radio[2] Network[glee-test] DevFamily[Wireless Access Point] DevType[Extreme Wireless Access Point] Hostname[CB-AP510-2] FT[None]",,"48:9B:D5:ED:F4:B2","catho-ap22-505i","1943Y-1589400000","1902W-2011900000"
